work_item_id,title,work_item_type,status,priority,estimated_hours,actuals_confidence,why,dependencies,approval_required,verification_evidence
BF-017,Design and implement Jira as the owner command and work-control plane,Story,Open,P0,8.0,Unknown / Needs Backfill,"An autonomous system needs a durable owner inbox, priorities, dependencies, approvals, comments, and evidence outside one chat.",BF-012,yes,"Future Jira automation, workflow tests, and execution receipts"
BF-018,"Provision BidetFit support mailbox, aliases, authentication, and routing",Task,Blocked,P0,4.0,Unknown / Needs Backfill,Automated customer operations cannot begin without a stable support identity and authorized mailbox access.,BF-012,yes,Blocked on owner/admin alias and OAuth/2FA actions
BF-019,"Build private support-ticket datastore, message model, and retention controls",Story,Open,P0,8.0,Unknown / Needs Backfill,"Support requires memory and auditability, but email content can contain personal, order, and sensitive information.","BF-018, BF-032",yes,"Future schema, threat model, tests, and privacy approval"
BF-020,"Implement cloud email intake, deduplication, threading, and queueing",Story,Open,P0,8.0,Unknown / Needs Backfill,The current six-hour GitHub operator does not watch Gmail or preserve customer threads.,"BF-018, BF-019",yes,"Future cloud trigger, logs, and end-to-end test"
BF-021,Connect an external model runtime for support classification and draft generation,Story,Blocked,P0,8.0,Unknown / Needs Backfill,This exact chat cannot wake itself; an API-accessible model or authorized external agent runtime is required for open-ended language work.,"BF-019, BF-020, BF-022, BF-023",yes,Blocked on runtime/provider decision and any separate API billing approval
BF-022,"Define support taxonomy, approved knowledge base, response templates, and escalation matrix",Task,Open,P0,8.0,Unknown / Needs Backfill,"Autonomous replies need approved business facts and action boundaries, not only a general model prompt.",BF-012,yes,"Future SUPPORT_RUNBOOK.md, templates, and approval record"
BF-023,"Implement action-risk classification, authorization, approvals, receipts, and emergency controls",Story,Open,P0,8.0,Unknown / Needs Backfill,"Prompt instructions alone cannot safely authorize email, account, order, refund, privacy, or destructive actions.","BF-017, BF-019, BF-022, BF-032",yes,"Future authorization matrix, tests, and security review"
BF-024,Run a draft-only customer-support pilot and independent quality evaluation,Task,Blocked,P0,8.0,Unknown / Needs Backfill,Draft-first operation provides real evidence without risking unsupervised customer commitments.,BF-018–BF-023,yes,"Future pilot dataset, review receipts, and experiment results"
BF-025,Enable narrowly scoped low-risk support auto-send categories,Release Gate,Blocked,P1,6.0,Unknown / Needs Backfill,"The goal is unattended service, but autonomy should expand by measured risk tier rather than all at once.","BF-024, BF-032",yes,"Future approval packet, canary report, and production evidence"
BF-026,"Implement authenticated customer, account, and order lookup",Story,Deferred,P2,8.0,Unknown / Needs Backfill,"Order and return operations require identity, authorization, and tenant isolation.","A future account/order system; BF-019, BF-023, BF-032",yes,Deferred until BidetFit owns customer accounts or receives delegated merchant access
BF-027,"Integrate seller or merchant order, cancellation, return, and refund APIs",Story,Deferred,P2,8.0,Unknown / Needs Backfill,BidetFit cannot process a merchant’s return merely because it referred the sale; it needs seller-of-record status or explicit delegated API authority.,Merchant/store agreements and BF-026,yes,Deferred until business model and merchant relationship justify it
BF-028,"Implement RMA, return-label, replacement, cancellation, and bounded refund workflows",Story,Deferred,P2,8.0,Unknown / Needs Backfill,"A return is a financial, inventory, legal, and customer-commitment workflow rather than a text response.","BF-023, BF-026, BF-027, BF-032",yes,Deferred until BidetFit is seller or has explicit merchant authority
BF-029,"Build the autonomous metrics, diagnosis, experiment, and learning loop",Story,Open,P0,8.0,Unknown / Needs Backfill,"Automation without measurement repeats activity; learning requires hypotheses, baselines, outcomes, and behavior changes.","BF-013, BF-014, BF-015, BF-017, BF-021",yes,"Future collectors, experiment receipts, and evaluation reports"
BF-030,"Add browser-level checker tests, accessibility checks, and synthetic production monitoring",Story,Open,P0,8.0,Unknown / Needs Backfill,The current deployment proof establishes reachability but not every checker journey.,"BF-006, BF-012",no,Future CI test reports and production smoke receipts
BF-031,"Implement owner notifications, escalation channels, and service health summaries",Task,Open,P1,6.0,Unknown / Needs Backfill,An unattended system needs a reliable human escalation route for approvals and incidents.,"BF-017, BF-018, BF-023",yes,Future notification tests and owner acknowledgment
BF-032,"Complete privacy, security, legal, and commercial-policy review for autonomous customer operations",Release Gate,Open,P0,8.0,Unknown / Needs Backfill,"Email support and returns introduce personal data, external commitments, and potentially financial actions beyond the current anonymous static site.",BF-018–BF-023,yes,Future approval record and exact policy artifact hashes
BF-033,Launch autonomous customer operations v1,Release Gate,Blocked,P1,8.0,Unknown / Needs Backfill,This is the practical milestone at which a customer can email while the laptop is off and receive a safe response.,"BF-018–BF-025, BF-029–BF-032",yes,Blocked until all launch gates pass
